iter	Logloss
0	0.6199995237
1	0.5644741887
2	0.5235487098
3	0.4848147545
4	0.4578548204
5	0.4368745565
6	0.421093316
7	0.4043077092
8	0.3882122423
9	0.377006101
10	0.3648716304
11	0.3561781004
12	0.3448929896
13	0.338012781
14	0.3307217118
15	0.3245539747
16	0.3174181542
17	0.3105308593
18	0.3065383633
19	0.3019390738
20	0.2978062003
21	0.2925391845
22	0.2883322744
23	0.2855865697
24	0.2821423349
25	0.2794724781
26	0.2770669623
27	0.2750515441
28	0.2705671367
29	0.2679528485
30	0.2655439962
31	0.2624898763
32	0.2599403489
33	0.2576050532
34	0.2537471674
35	0.2517655982
36	0.2490661579
37	0.2464509189
38	0.2436316688
39	0.2411346731
40	0.2386727563
41	0.2358875968
42	0.2339234757
43	0.2322727549
44	0.2294194997
45	0.2280839949
46	0.2257038224
47	0.2230910958
48	0.2216839773
49	0.2203099368
50	0.2185105201
51	0.2152650227
52	0.2141018805
53	0.211490399
54	0.2095565262
55	0.2067552517
56	0.2051200503
57	0.2030909939
58	0.2023259643
59	0.2002853668
60	0.1987747563
61	0.1975098015
62	0.1963821389
63	0.1952499581
64	0.1945289
65	0.1931821433
66	0.1921163569
67	0.1898056502
68	0.1886797048
69	0.1876657915
70	0.1867071245
71	0.1857715532
72	0.1833583425
73	0.1824146665
74	0.1808908097
75	0.1798905081
76	0.1787661388
77	0.1776869555
78	0.1767529061
79	0.1756390861
80	0.1741286528
81	0.1735055942
82	0.1720782755
83	0.171057587
84	0.1704247954
85	0.1694391006
86	0.1681413481
87	0.1674240676
88	0.1669280645
89	0.1656798596
90	0.1643075679
91	0.1634145967
92	0.1626790526
93	0.1620221295
94	0.1610470371
95	0.1603663904
96	0.1595030765
97	0.1581984162
98	0.1576290797
99	0.1561181728
100	0.1550101147
101	0.1538691894
102	0.1533025206
103	0.1518621813
104	0.1508850493
105	0.1498992048
106	0.1490178629
107	0.1479324358
108	0.1471700647
109	0.1463953919
110	0.1458962598
111	0.144965565
112	0.1442433112
113	0.1432857633
114	0.1425653682
115	0.1420699914
116	0.1409035038
117	0.1401441556
118	0.1389935464
119	0.1376183438
120	0.1369438744
121	0.1355791746
122	0.1351135301
123	0.1338156516
124	0.1331987358
125	0.1325476427
126	0.1317961331
127	0.1312140138
128	0.1304474259
129	0.1290573672
130	0.1284957158
131	0.1274948275
132	0.1267803911
133	0.1264338656
134	0.1259022179
135	0.1249324924
136	0.1244152838
137	0.1233797643
138	0.1226509928
139	0.1223301363
140	0.1217988387
141	0.1212413266
142	0.1207426439
143	0.1204250979
144	0.1195377734
145	0.1186620079
146	0.1179375704
147	0.117602425
148	0.1174393609
149	0.1169539851
150	0.1164908987
151	0.1158214444
152	0.1152093817
153	0.1146628352
154	0.1137488823
155	0.113326064
156	0.1128021829
157	0.1124208155
158	0.1117935307
159	0.1114765188
160	0.1111106638
161	0.1107187622
162	0.1101883442
163	0.1096592344
164	0.1091355217
165	0.1085812528
166	0.1081424852
167	0.1076116252
168	0.1070812535
169	0.1063036171
170	0.1060399119
171	0.1055767937
172	0.1053977235
173	0.1050425991
174	0.1046356724
175	0.104492914
176	0.1042944038
177	0.1037100667
178	0.1032649014
179	0.1026724408
180	0.1020531839
181	0.1014944716
182	0.1010259885
183	0.1008553247
184	0.1004558577
185	0.09990333565
186	0.09912659188
187	0.09820869132
188	0.09731156698
189	0.09626359945
190	0.0956186448
191	0.09526542552
192	0.09480870804
193	0.09409331023
194	0.09378696437
195	0.09356678287
196	0.09333481751
197	0.09300996178
198	0.09246318986
199	0.09218855427
200	0.09146145651
201	0.09100938916
202	0.09078365556
203	0.0904220138
204	0.09025742986
205	0.09001583273
206	0.08968269244
207	0.08926714563
208	0.08838116127
209	0.08797287968
210	0.0875888081
211	0.08722538364
212	0.08698758274
213	0.08632576227
214	0.08580297095
215	0.08544491904
216	0.08509825744
217	0.08450070966
218	0.08382947675
219	0.08341384342
220	0.08306357832
221	0.08279949515
222	0.08219737695
223	0.08120891004
224	0.08100811305
225	0.07997199255
226	0.07960490733
227	0.07871905166
228	0.07837837373
229	0.07803682513
230	0.07778968573
231	0.07752158971
232	0.07737273983
233	0.07707146598
234	0.07683533584
235	0.07667520888
236	0.07641043318
