iter	Passed	Remaining
233	5671	18566
234	5690	18523
235	5709	18484
236	5729	18444
237	5748	18405
238	5768	18368
239	5788	18330
240	5807	18291
241	5827	18253
242	5845	18211
243	5864	18168
244	5882	18128
245	5901	18087
246	5919	18047
247	5939	18010
248	5958	17970
249	5977	17933
250	5997	17896
251	6016	17857
252	6034	17817
253	6054	17781
254	6074	17746
255	6093	17708
256	6113	17673
257	6132	17637
258	6152	17601
259	6171	17565
260	6191	17531
261	6210	17494
262	6230	17459
263	6250	17424
264	6269	17387
265	6290	17357
266	6310	17323
267	6330	17292
268	6351	17258
269	6369	17221
270	6389	17188
271	6408	17152
272	6428	17119
273	6447	17083
274	6468	17052
275	6489	17022
276	6510	16992
277	6530	16960
278	6551	16930
279	6572	16899
280	6592	16869
281	6613	16839
282	6635	16810
283	6655	16780
284	6677	16751
285	6698	16722
286	6719	16693
287	6739	16662
288	6760	16632
289	6782	16604
290	6803	16576
291	6824	16546
292	6843	16514
293	6863	16482
294	6883	16450
295	6903	16420
296	6923	16389
297	6944	16358
298	6965	16330
299	6985	16299
300	7006	16270
301	7027	16242
302	7047	16212
303	7068	16182
304	7088	16151
305	7108	16121
306	7128	16091
307	7147	16059
308	7167	16027
309	7186	15995
310	7206	15965
311	7226	15934
312	7246	15904
313	7265	15873
314	7285	15842
315	7305	15812
316	7326	15785
317	7346	15756
318	7366	15725
319	7387	15697
320	7406	15666
321	7426	15636
322	7446	15606
323	7466	15577
324	7485	15547
325	7504	15516
326	7525	15488
327	7544	15457
328	7564	15428
329	7584	15398
330	7604	15368
331	7624	15339
332	7644	15312
333	7663	15281
334	7683	15252
335	7703	15224
336	7724	15195
337	7744	15168
338	7764	15139
339	7785	15113
340	7805	15084
341	7824	15054
342	7845	15027
343	7864	14997
344	7884	14968
345	7903	14939
346	7924	14912
347	7944	14885
348	7964	14857
349	7984	14828
350	8005	14801
351	8025	14774
352	8044	14745
353	8065	14718
354	8085	14690
355	8105	14662
356	8125	14634
357	8145	14607
358	8166	14580
359	8185	14552
360	8205	14525
361	8225	14496
362	8245	14469
363	8266	14443
364	8286	14415
365	8305	14387
366	8325	14359
367	8345	14332
368	8366	14306
369	8386	14279
370	8405	14251
371	8425	14223
372	8446	14197
373	8466	14170
374	8487	14145
375	8507	14119
376	8527	14091
377	8546	14063
378	8566	14036
379	8586	14009
380	8606	13983
381	8626	13956
382	8646	13928
383	8666	13902
384	8686	13875
385	8706	13849
386	8727	13823
387	8747	13797
388	8767	13770
389	8787	13745
390	8808	13719
391	8829	13694
392	8848	13667
393	8869	13641
394	8889	13614
395	8909	13588
396	8928	13561
397	8948	13534
398	8967	13507
399	8987	13480
400	9006	13453
401	9026	13427
402	9045	13400
403	9066	13374
404	9086	13349
405	9107	13325
406	9128	13299
407	9147	13273
408	9167	13247
409	9188	13221
410	9208	13195
411	9227	13169
412	9247	13144
413	9268	13119
414	9287	13092
415	9308	13067
416	9328	13042
417	9349	13017
418	9369	12991
419	9389	12966
420	9410	12942
421	9434	12921
422	9454	12896
423	9474	12870
424	9494	12845
425	9514	12819
426	9534	12795
427	9554	12769
428	9574	12743
429	9593	12717
430	9614	12692
431	9634	12668
432	9655	12643
433	9675	12618
434	9695	12593
435	9715	12567
436	9735	12542
437	9755	12517
438	9776	12493
439	9797	12469
440	9817	12444
441	9837	12419
442	9857	12394
443	9878	12370
444	9897	12344
445	9917	12319
446	9937	12293
447	9956	12268
448	9978	12244
449	9998	12220
450	10018	12195
451	10038	12170
452	10057	12144
453	10079	12121
454	10099	12097
455	10119	12072
456	10139	12047
457	10159	12023
458	10180	11998
459	10199	11973
460	10219	11948
461	10239	11923
462	10258	11898
463	10279	11874
464	10299	11849
465	10319	11825
466	10339	11800
467	10359	11776
468	10380	11752
469	10400	11727
470	10420	11703
471	10440	11678
472	10459	11653
473	10478	11628
474	10498	11603
475	10518	11579
476	10538	11554
477	10558	11530
478	10578	11506
479	10598	11482
480	10618	11457
481	10638	11433
482	10658	11409
483	10679	11385
484	10699	11360
485	10719	11336
486	10739	11312
487	10759	11288
488	10780	11265
489	10800	11241
490	10820	11217
491	10840	11193
492	10860	11168
493	10880	11144
494	10899	11119
495	10919	11095
496	10938	11071
497	10958	11046
498	10978	11022
499	11000	11000
500	11020	10976
501	11039	10951
502	11059	10927
503	11079	10903
504	11099	10879
505	11120	10856
506	11140	10832
507	11159	10807
508	11179	10783
509	11198	10759
510	11218	10735
511	11238	10711
512	11259	10688
513	11280	10666
514	11300	10642
515	11320	10618
516	11340	10594
517	11360	10570
518	11379	10546
519	11399	10522
520	11419	10499
521	11439	10475
522	11460	10452
523	11480	10429
524	11500	10404
525	11520	10381
526	11541	10358
527	11561	10335
528	11582	10312
529	11602	10288
530	11621	10264
531	11641	10240
532	11660	10217
533	11679	10192
534	11700	10169
535	11719	10145
536	11740	10122
537	11760	10099
538	11780	10075
539	11800	10052
540	11820	10028
541	11840	10005
542	11860	9982
543	11880	9958
544	11901	9935
545	11920	9912
546	11941	9888
547	11960	9865
548	11981	9842
549	12002	9820
550	12021	9796
551	12040	9772
552	12061	9749
553	12081	9726
554	12102	9704
555	12122	9680
556	12142	9657
557	12163	9634
558	12183	9611
559	12203	9588
560	12223	9565
561	12243	9541
562	12263	9518
563	12283	9495
564	12303	9472
565	12322	9448
566	12343	9426
567	12362	9402
568	12382	9379
569	12403	9356
570	12423	9334
571	12444	9311
572	12466	9289
573	12490	9270
574	12518	9252
575	12542	9232
576	12566	9212
577	12589	9191
578	12615	9173
579	12640	9153
580	12666	9134
581	12691	9115
582	12714	9094
583	12739	9074
584	12763	9054
585	12786	9033
586	12812	9014
587	12840	8996
588	12865	8977
589	12889	8957
590	12913	8937
591	12936	8915
592	12958	8894
593	12979	8871
594	13000	8849
595	13022	8827
596	13044	8805
597	13065	8783
598	13087	8761
599	13108	8739
600	13130	8717
601	13151	8695
602	13173	8672
603	13193	8649
604	13214	8627
605	13236	8605
606	13258	8584
607	13279	8561
608	13300	8539
609	13322	8517
610	13344	8495
611	13367	8474
612	13389	8453
613	13410	8430
614	13432	8408
615	13454	8387
616	13478	8366
617	13502	8345
618	13523	8323
619	13544	8301
620	13566	8280
621	13587	8257
622	13607	8234
623	13629	8212
624	13650	8190
625	13672	8168
626	13694	8146
627	13713	8123
628	13734	8101
629	13755	8078
630	13780	8058
631	13801	8036
632	13822	8013
633	13842	7991
634	13864	7969
635	13885	7946
636	13905	7924
637	13926	7901
638	13946	7879
639	13966	7856
640	13987	7833
641	14008	7811
642	14029	7789
643	14051	7767
644	14073	7745
645	14095	7723
646	14126	7707
647	14147	7685
648	14169	7663
649	14189	7640
650	14211	7618
651	14232	7596
652	14253	7573
653	14273	7551
654	14293	7528
655	14315	7506
656	14335	7484
657	14356	7462
658	14377	7439
659	14396	7416
660	14417	7393
661	14437	7371
662	14458	7349
663	14480	7327
664	14501	7305
665	14522	7283
666	14542	7260
667	14563	7238
668	14584	7216
669	14605	7193
670	14632	7174
671	14655	7153
672	14677	7131
673	14700	7110
674	14722	7088
675	14745	7067
676	14768	7046
677	14789	7023
678	14811	7002
679	14833	6980
680	14855	6958
681	14876	6936
682	14895	6913
683	14915	6890
684	14936	6868
685	14956	6846
686	14976	6823
687	14997	6801
688	15017	6778
689	15037	6756
690	15057	6733
691	15077	6710
692	15098	6688
693	15119	6666
694	15140	6644
695	15159	6621
696	15180	6599
697	15201	6577
698	15222	6554
699	15242	6532
700	15263	6510
701	15283	6487
702	15304	6465
703	15325	6443
704	15345	6421
705	15367	6399
706	15388	6377
707	15409	6355
708	15429	6333
709	15450	6310
710	15471	6288
711	15492	6266
712	15512	6244
713	15533	6222
714	15554	6200
715	15575	6178
716	15595	6155
717	15616	6133
718	15636	6111
719	15657	6089
720	15678	6067
721	15699	6045
722	15719	6022
723	15739	5999
724	15760	5978
725	15786	5958
726	15814	5938
727	15838	5917
728	15861	5896
729	15887	5876
730	15951	5870
731	15978	5850
732	16003	5829
733	16026	5808
734	16049	5786
735	16077	5766
736	16102	5746
737	16126	5725
738	16149	5703
739	16173	5682
740	16196	5661
741	16222	5640
742	16247	5619
743	16268	5597
744	16292	5576
745	16317	5555
746	16341	5534
747	16365	5513
748	16387	5491
749	16414	5471
750	16440	5450
751	16463	5429
752	16485	5407
753	16508	5385
754	16532	5364
755	16555	5343
756	16578	5321
757	16600	5299
758	16622	5278
759	16649	5257
760	16671	5235
761	16692	5213
762	16715	5191
763	16739	5170
764	16762	5149
765	16785	5127
766	16808	5106
767	16831	5084
768	16855	5063
769	16878	5041
770	16902	5020
771	16926	4998
772	16947	4976
773	16972	4955
774	16995	4934
775	17019	4912
776	17042	4891
777	17068	4870
778	17093	4849
779	17116	4827
780	17141	4806
781	17164	4784
782	17189	4763
783	17214	4742
784	17236	4720
785	17258	4698
786	17283	4677
787	17304	4655
788	17328	4634
789	17355	4613
790	17381	4592
791	17405	4571
792	17428	4549
793	17452	4527
794	17475	4506
795	17499	4484
796	17523	4463
797	17546	4441
798	17570	4420
799	17595	4398
800	17618	4377
801	17645	4356
802	17671	4335
803	17696	4313
804	17719	4292
805	17743	4270
806	17767	4249
807	17790	4227
808	17813	4205
809	17836	4183
810	17859	4162
811	17882	4140
812	17906	4118
813	17930	4097
814	17955	4075
815	17979	4054
816	18003	4032
817	18027	4010
818	18050	3989
819	18073	3967
820	18097	3945
821	18123	3924
822	18146	3902
823	18169	3880
824	18192	3859
825	18217	3837
826	18242	3816
827	18264	3794
828	18290	3772
829	18314	3751
830	18338	3729
831	18360	3707
832	18383	3685
833	18408	3663
834	18431	3642
835	18453	3620
836	18475	3597
837	18496	3575
838	18517	3553
839	18536	3530
840	18555	3508
841	18575	3485
842	18596	3463
843	18619	3441
844	18642	3419
845	18664	3397
846	18686	3375
847	18707	3353
848	18730	3331
849	18751	3309
850	18774	3287
851	18797	3265
852	18819	3243
853	18841	3221
854	18864	3199
855	18886	3177
856	18907	3154
857	18929	3132
858	18950	3110
859	18970	3088
860	18991	3066
861	19011	3043
862	19032	3021
863	19053	2999
864	19075	2977
865	19095	2954
866	19117	2932
867	19138	2910
868	19159	2888
869	19180	2866
870	19201	2843
871	19222	2821
872	19244	2799
873	19264	2777
874	19284	2754
875	19304	2732
876	19325	2710
877	19346	2688
878	19368	2666
879	19390	2644
880	19411	2621
881	19431	2599
882	19451	2577
883	19472	2555
884	19492	2532
885	19513	2510
886	19534	2488
887	19555	2466
888	19576	2444
889	19596	2422
890	19617	2399
891	19638	2377
892	19661	2355
893	19682	2333
894	19702	2311
895	19725	2289
896	19748	2267
897	19771	2245
898	19793	2223
899	19813	2201
900	19834	2179
901	19855	2157
902	19876	2135
903	19898	2113
904	19920	2091
905	19941	2068
906	19962	2046
907	19984	2024
908	20006	2002
909	20030	1981
910	20055	1959
911	20078	1937
912	20100	1915
913	20122	1893
914	20143	1871
915	20164	1849
916	20185	1827
917	20207	1805
918	20228	1782
919	20248	1760
920	20270	1738
921	20291	1716
922	20312	1694
923	20334	1672
924	20355	1650
925	20376	1628
926	20396	1606
927	20416	1584
928	20437	1561
929	20458	1539
930	20478	1517
931	20498	1495
932	20518	1473
933	20539	1451
934	20560	1429
935	20581	1407
936	20602	1385
937	20623	1363
938	20644	1341
939	20663	1318
940	20683	1296
941	20704	1274
942	20725	1252
943	20747	1230
944	20768	1208
945	20788	1186
946	20809	1164
947	20831	1142
948	20851	1120
949	20871	1098
950	20893	1076
951	20914	1054
952	20936	1032
953	20956	1010
954	20977	988
955	20997	966
956	21018	944
957	21039	922
958	21061	900
959	21082	878
960	21101	856
961	21121	834
962	21142	812
963	21163	790
964	21183	768
965	21202	746
966	21222	724
967	21242	702
968	21262	680
969	21283	658
970	21306	636
971	21326	614
972	21347	592
973	21368	570
974	21394	548
975	21416	526
976	21435	504
977	21456	482
978	21477	460
979	21497	438
980	21518	416
981	21538	394
982	21559	372
983	21579	350
984	21598	328
985	21617	306
986	21637	284
987	21657	263
988	21678	241
989	21699	219
990	21719	197
991	21739	175
992	21758	153
993	21779	131
994	21799	109
995	21820	87
996	21840	65
997	21861	43
998	21880	21
999	21901	0
